RK,TEAM,G,WINS,LOSSES,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,YEAR
346,Abilene Christian,21,2,19,94.5,115.8,47.2,56.4,22.3,18,24.9,33.8,42.3,48.3,42.3,56.8,37.3,37.1,35.6,30.3,64.9,2014
335,Abilene Christian,28,7,21,92.1,111.3,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,42,55.2,37.8,37,36.2,32.9,64,2015
318,Abilene Christian,27,9,18,96,111.4,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,35,28.2,68.3,2016
278,Abilene Christian,25,9,16,97.1,106.7,52.5,52.8,21,21.4,23,31.7,34.7,44.3,50.7,52.1,37.1,36.1,35.8,36.5,67.1,2017
278,Abilene Christian,25,9,16,97.1,106.7,52.5,52.8,21,21.4,23,31.7,34.7,44.3,50.7,52.1,37.1,36.1,35.8,36.5,67.1,2018
274,Abilene Christian,28,12,16,97.1,106.6,50.4,51.4,20.3,21.6,27.3,29.7,31.5,43.2,51.9,52.3,31.8,33.2,35.4,36.4,69.7,2019
86,Abilene Christian,23,19,4,101.1,92.5,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,36.5,34,70.8,2021
122,Abilene Christian,29,19,10,102,98.1,47.8,51.3,17.5,28.6,27.8,31.6,38.5,48.8,48.3,51.1,31.4,34.3,36.2,39.7,71,2022
142,Air Force,28,14,14,98.8,96.7,52.1,48.7,21.5,23,19.4,30.5,45.5,35.4,48.7,44.4,37.5,36.1,44.7,44.6,58.5,2008
232,Air Force,29,8,21,97.5,103.7,50,53.2,21.7,19.8,23.3,30.9,34.4,40,52.3,54.2,31,34.6,39.7,44.2,58.4,2009
121,Air Force,28,14,14,105,101.3,53.8,48.8,19,20.6,20.4,34.3,37.9,31.8,52.3,47.3,37.6,33.8,37.1,45.8,61.9,2010
179,Air Force,27,11,16,98.5,100,51.1,48.4,20.6,21.5,19.8,31.5,39.4,38.2,51.8,48.4,33.3,32.3,40,41.6,62.3,2011
190,Air Force,27,16,NA,99.5,101.7,51.1,48.4,20.6,21.5,19.8,31.5,39.4,38.2,51.8,48.4,33.3,32.3,40,41.6,61.2,2012
108,Air Force,28,15,13,109.6,103.4,55.1,51.7,18.5,19.2,23.3,32.2,31.4,36.2,53.7,53.7,38.1,32.4,42.2,40,64.5,2013
242,Air Force,28,10,18,99.8,106.2,49.5,50.9,20.5,17.8,26.4,30.2,37.1,43.9,49.6,51.1,32.9,33.7,41.9,40.2,65.6,2014
218,Air Force,29,12,17,105.3,110,53.6,53,19.2,20.2,29.6,32.6,30.8,35.5,53.9,51.5,35.4,36.6,39.9,44.1,61.6,2015
259,Air Force,30,12,18,97.4,105.4,48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47,51.3,33.4,34.9,34.3,46.7,67.9,2016
203,Air Force,31,10,21,104.1,107.7,49.8,54.6,17.9,17.5,26.5,24.6,37.4,32.6,47,54.4,36.2,36.6,38.7,46.8,68.4,2017
203,Air Force,31,10,21,104.1,107.7,49.8,54.6,17.9,17.5,26.5,24.6,37.4,32.6,47,54.4,36.2,36.6,38.7,46.8,68.4,2018
237,Air Force,29,10,19,99.8,106,47.6,54.9,18.8,20.6,27.4,28.8,32,33.3,46.8,51.3,32.5,39.7,43.5,42.9,66.8,2019
311,Air Force,25,5,20,94.7,108.8,52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,54.1,59.1,33,36.6,45,40.5,64,2021
258,Air Force,29,11,18,95.4,102.1,50.9,51.5,21.5,20.3,19.6,29.4,26.8,38.9,51.6,53.8,33.3,31.2,43.5,33.3,64.2,2022
85,Akron,33,23,10,108.8,98.9,52.1,49.9,19.5,24.6,34.1,34,40,37.3,48.3,50,38.5,33,40.4,31.6,65.5,2008
106,Akron,33,23,10,104.2,98.1,49.3,47,20.2,21.2,37.7,33.5,37.1,41.9,48.5,46.3,33.9,32.5,33.9,28.4,66.4,2009
136,Akron,34,22,12,101.4,98.6,49.9,46.5,17.7,20.5,28.5,33,31.9,38.2,47.3,46,36,31.8,38.3,30.4,67.1,2010
90,Akron,32,21,11,104.8,96.7,51.6,46.1,21.1,21,34.3,33.4,40.9,34.5,50.1,47.1,36.6,29.2,29.6,29,67.8,2011
91,Akron,33,21,12,107,99.1,51.5,46.4,21,20.6,34.8,33.2,40,34,50.1,47.3,36.4,29.6,29.6,29.5,66.7,2012
65,Akron,31,25,6,105.4,93.8,51.4,44,20.4,20.5,37.8,30.2,36.8,35.5,52.2,42.2,33.2,32.2,36.7,29.6,66.6,2013
129,Akron,33,21,12,103.9,100.2,49.7,47.2,20,19.7,35.3,32.3,40.7,35.7,48.2,46.7,34.8,32.5,37.4,27.3,65.7,2014
100,Akron,34,20,14,103.7,97.3,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,46.7,43.8,34.9,33,47.8,30.7,64.1,2015
85,Akron,33,25,8,109.3,100.3,53.2,47,15.7,16.7,28.5,30,30.7,32.3,47.9,47.8,38.9,30.3,50.6,32.9,68.4,2016
101,Akron,33,25,8,112,105.7,55.7,50.6,17.2,16.7,29.6,28.2,36.8,33.5,55.8,48.7,37,36.3,48.5,33.2,67,2017
101,Akron,33,25,8,112,105.7,55.7,50.6,17.2,16.7,29.6,28.2,36.8,33.5,55.8,48.7,37,36.3,48.5,33.2,67,2018
225,Akron,31,13,18,102.4,107.5,51.5,54.2,19.8,18.5,27,28.3,31.4,39.1,49.9,54.1,35.6,36.1,46.5,40.5,68.8,2019
116,Akron,21,13,8,106.6,101.9,51.5,48.6,17,16.4,30,28.8,30.7,27.3,52.7,49.3,33.4,31.6,46.3,33.7,69.4,2021
146,Akron,31,22,9,104.8,102.7,52.8,49.3,17.7,17.6,29.1,26.3,40.1,26.2,52.4,47.8,35.6,34.7,41.7,35.3,63,2022
82,Alabama,33,17,16,109.7,99.6,51.4,50.2,18.5,20.2,36.5,31.9,33.5,33.9,50,48.3,36.3,35.5,31.8,37.7,68.6,2008
60,Alabama,32,17,15,107.6,94.4,49,47.7,19.5,21.2,35,34.2,34.3,36.5,47.6,47.7,35,31.8,27.9,32.9,65.3,2009
53,Alabama,32,21,11,103,90.2,48.2,43.3,21.5,23.5,37.2,33.7,31.7,36.9,49.3,41.3,29.8,31.8,24.5,31.1,64.9,2010
24,Alabama,32,21,11,105,88.1,49,43.4,20.4,21.4,33.9,31.9,36.5,38.6,51.4,43.9,28.5,28.3,27.1,32.9,63.1,2011
27,Alabama,33,21,12,105.5,89.7,49.1,43.7,20.2,21.2,33.5,31.6,36.2,38.2,51.3,43.9,28.9,28.9,27.3,33.2,61.8,2012
62,Alabama,32,20,12,102.7,91.4,48.1,45.8,19.9,22.4,31.8,33.2,34.4,33.8,47.1,45.8,33.7,30.6,31.4,31.3,61.7,2013
69,Alabama,31,12,19,108.2,98.1,49.4,47,18.3,19.3,30,34.5,44,41.3,49.1,47.5,33.3,30.7,33.3,32,63.7,2014
77,Alabama,31,17,14,108.2,98.4,50.4,47.8,19.1,19.1,30,31.5,44.1,40,51.9,47.2,32.1,32.4,40.8,37.3,62.7,2015
