School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G
Abilene Christian,30,0.433,-2.5,1.2,0.313,0.643,0.333,74.967,71.1,3.867,1.243,20.57
Air Force,32,0.438,2.31,2.44,0.278,0.526,0.308,66.938,67.063,-0.125,1.256,17
Akron,33,0.667,4.52,-1.32,0.722,0.938,0.455,74.636,66.939,7.697,1.197,16.03
Alabama,34,0.853,23.75,10.07,0.889,1,0.75,82.176,68.5,13.676,1.079,18.62
Alabama A&M,33,0.455,-10.51,-7.44,0.556,0.529,0.385,69.606,70.909,-1.303,0.841,18.91
Alabama St.,31,0.258,-16.05,-6.02,0.333,0.5,0.1,63.323,72.645,-9.322,0.746,17.97
Albany,31,0.258,-14.37,-4.54,0.188,0.455,0.111,67.29,75.226,-7.936,0.877,18.58
Alcorn St.,32,0.563,-8.49,-5.55,0.833,0.778,0.526,68.129,70.645,-2.516,0.789,19.03
American,32,0.531,-8.31,-7.78,0.389,0.571,0.5,65.406,65.938,-0.532,0.973,15.06
Appalachian St.,32,0.5,-1.41,-0.9,0.5,0.588,0.462,70.25,64.594,5.656,1.185,13.81
Arizona,34,0.824,20.05,8.87,0.7,0.882,0.6,82.676,71.5,11.176,1.433,17.03
Arizona St.,35,0.657,11.71,8.46,0.55,0.667,0.538,70.324,67.706,2.618,1.204,18.53
Arkansas,33,0.606,16.51,9.48,0.444,0.824,0.2,74.424,67.394,7.03,1.04,19.12
Arkansas St.,33,0.394,-7.93,-3.17,0.222,0.556,0.154,65.727,67.636,-1.909,1.125,16.76
Arkansas Pine Bluff,31,0.323,-12.66,-5.03,0.333,0.615,0.111,66.903,69.742,-2.839,0.837,19.71
Army,33,0.515,-7.27,-7.72,0.556,0.667,0.467,73.091,70.364,2.727,1.012,16.12
Auburn,32,0.625,14.84,9.19,0.556,0.875,0.333,72.719,67.063,5.656,1.138,19.22
Austin Peay,31,0.29,-12.02,-2.45,0.167,0.467,0.071,66.677,72.29,-5.613,1.063,16.94
Ball St.,32,0.625,-0.82,-3.12,0.611,0.857,0.462,76.406,71.625,4.781,1.079,16.41
Baylor,32,0.688,17.96,11.06,0.611,0.824,0.5,77.156,70.25,6.906,1.178,17.38
Bellarmine,33,0.455,-7.32,-1.26,0.5,0.571,0.333,66.273,67.152,-0.879,1.269,15.82
Belmont,32,0.656,2.2,-1.61,0.7,0.857,0.5,76.469,71.844,4.625,1.337,15.59
Bethune-Cookman,33,0.394,-16.56,-7.59,0.474,0.615,0.235,67.636,74.515,-6.879,0.883,17.42
Binghamton,31,0.419,-10.47,-5.54,0.5,0.533,0.313,68.806,71.516,-2.71,0.894,18
Boise St.,33,0.727,13.34,6.31,0.722,0.938,0.455,72.242,64.333,7.909,1,16.3
Boston College,33,0.485,1,4.64,0.45,0.563,0.364,66.576,70.212,-3.636,1.02,15.79
Boston University,32,0.469,-8.22,-6.64,0.444,0.692,0.353,67.094,67.219,-0.125,0.872,17.53
Bowling Green St.,31,0.355,-8.14,-3.48,0.278,0.438,0.267,75.968,78.516,-2.548,1.132,17.74
Bradley,35,0.714,6.85,-0.33,0.8,0.938,0.615,70.912,62.176,8.736,1.146,16.03
Brigham Young,34,0.559,9.81,5.78,0.438,0.75,0.222,75.529,69.882,5.647,1.042,19.38
Brown,27,0.519,-2.73,-2.95,0.5,0.583,0.467,69.556,69.333,0.223,1.03,16.22
Bryant,30,0.567,-3.63,-4.56,0.5,0.692,0.467,79.367,73.1,6.267,1.002,17.27
Bucknell,32,0.375,-9.97,-7,0.278,0.5,0.188,67.531,68.5,-0.969,1.005,15.56
Buffalo,32,0.469,-2.73,0.91,0.5,0.733,0.25,77.531,77.656,-0.125,1.04,18.81
Butler,32,0.438,5.77,8.45,0.3,0.625,0.231,65.25,67.938,-2.688,1.066,13.41
Cal Poly,33,0.242,-7.17,-0.2,0.053,0.353,0.071,60.788,65.879,-5.091,0.746,19.79
Cal St. Bakersfield,33,0.333,-8.06,-1.19,0.3,0.429,0.2,60.455,64.667,-4.212,0.837,18.82
Cal St. Fullerton,33,0.606,2.05,0.05,0.667,0.846,0.467,69.182,65.091,4.091,0.87,17.88
Cal St. Northridge,32,0.219,-10.08,-1.41,0.2,0.467,0,63.375,68.563,-5.188,0.785,18.91
California,32,0.094,-2.9,8.88,0.1,0.176,0,58.313,70.094,-11.781,0.739,17.13
California Baptist,33,0.515,0.5,-0.41,0.412,0.706,0.333,69.424,65.333,4.091,1.243,17.24
Campbell,34,0.471,-5.24,-4.9,0.444,0.571,0.286,69.824,68.5,1.324,1.03,16.29
Canisius,30,0.333,-6.94,-3.35,0.4,0.5,0.2,70.367,72.3,-1.933,1.207,15.63
Central Arkansas,31,0.29,-13.57,-3.01,0.222,0.429,0.133,72.935,81.516,-8.581,0.93,16.39
Central Connecticut St.,32,0.313,-13.95,-9.77,0.438,0.462,0.222,65.969,70.156,-4.187,1.084,14.09
Central Florida,33,0.576,11.83,5.22,0.444,0.647,0.4,72.219,65.969,6.25,1.078,16.66
Central Michigan,31,0.323,-11.63,-2.28,0.278,0.429,0.2,65.742,73,-7.258,0.674,19.81
Charleston Southern,31,0.323,-9.41,-4.44,0.278,0.429,0.2,72.613,74.355,-1.742,1.022,18.13
Charlotte,32,0.563,3.68,-0.29,0.45,0.733,0.385,66.719,62.75,3.969,1.194,13.97
Chattanooga,35,0.514,-2.2,-3.2,0.389,0.563,0.4,77.2,72.086,5.114,1.317,15.77
Chicago St.,31,0.355,-10.97,-3.19,NA,1,0.13,70.323,73.032,-2.709,0.898,18.1
Cincinnati,34,0.647,12.23,5.26,0.611,0.833,0.4,77.212,69.212,8,1.481,15.85
