RK,TEAM,G,WINS,LOSSES,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T
1,Houston,34,31,3,117.1,88,52.7,42.5,15.3,22,37.1,27.4,28.5,35.8,53.2,43.1,34.5,27.8,37.8,43.7,64
2,Alabama,34,29,5,115.4,88.3,52.7,41.5,19,15.9,33.8,27.5,36.7,32.8,54.6,41.2,33.8,28.1,47.8,30.6,73.5
3,UCLA,34,29,5,113.2,87.4,50.9,46.8,15.3,23.6,33.7,27.6,27.1,27.6,50.4,46.8,34.7,31.1,29.1,39.3,67
4,Tennessee,33,23,10,111.1,86.2,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,51,44.6,32.9,26.2,40.4,41.6,66.3
5,Connecticut,33,25,8,118.9,92.5,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,42,30.3,67.7
6,Purdue,34,29,5,118.5,92.6,52.2,47.2,17,15.4,38.3,23.3,37.2,19.3,54.1,47.4,32.6,31.4,38.1,35.4,64.8
7,Arizona,34,28,6,119.7,95.4,56.8,47.2,18.4,16.9,31.1,26.2,36.5,26,56.6,45.9,38.2,32.8,38,38.7,73.2
8,Saint Mary's,32,25,7,111.7,89.1,52.5,46.7,16.4,19,33.1,21.8,31.2,30.3,51,45.6,36.7,32.8,37,31.8,62.8
9,Texas,34,26,8,114.6,91.6,52.7,47.8,16.5,22.8,28.3,29.4,31.5,34.5,53.8,47.2,33.9,32.7,35,35.4,69.5
10,Gonzaga,32,27,5,122.6,98.6,58.5,51.7,14.6,18.8,31.1,26,34.2,26.7,59,51.2,38.4,35,32.8,39.4,70.7
11,Marquette,34,28,6,118.9,96.1,56,51.1,15.2,22.8,26.5,32.1,27.1,29,58.8,50,34.8,35.2,41.9,37.5,69.3
