team,seed,POSTSEASON,conference,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,year
Gonzaga,   1 seed, Sweet Sixteen,WCC,120.3,89.9,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37,30.5,72.6,2022
Houston,   5 seed, Elite Eight,Amer,116.5,88.5,53.1,43.3,16.9,21.7,37.7,28,29,34.7,54.5,43.4,33.8,28.8,63.7,2022
Kansas,   1 seed, CHAMPS,B12,119.8,91.3,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,2022
Texas Tech,   3 seed, Sweet Sixteen,B12,110.5,85.4,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,2022
Baylor,   1 seed, R32,B12,117.8,91.3,52.8,47.8,17.9,22.9,36.3,28.8,29,27.7,53.6,49.2,34.3,30.2,67.6,2022
Duke,   2 seed, Final Four,ACC,122.7,96,55.6,47.1,15,15.7,31.7,28.9,28.6,19.1,56,46.6,36.6,32,67.4,2022
Tennessee,   3 seed, R32,SEC,111.3,87.1,50.7,46.4,17.7,22.9,32.4,27.2,29,31.5,48.5,46,35.9,31.3,67.4,2022
Villanova,   2 seed, Final Four,BE,117.2,93,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25,49.5,48.1,35.9,30.8,62.2,2022
Arizona,   1 seed, Sweet Sixteen,P12,118,93.7,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24,57,41.8,35.3,32.8,72.3,2022
UCLA,   4 seed, Sweet Sixteen,P12,115.8,92.2,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,2022
Kentucky,   2 seed, R64,SEC,119.4,95.4,53.1,46.9,16.7,17.5,37.7,24.9,28,25.4,53.5,47.3,34.7,30.8,67.8,2022
Purdue,   3 seed, Sweet Sixteen,B10,121.6,97.5,56.5,49.1,17.5,14,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66,2022
Iowa,   5 seed, R64,B10,121.1,97.2,53.3,49.7,13,19.2,32.3,30,30,26.3,52.5,49.9,36.3,32.9,69.8,2022
Auburn,   2 seed, R32,SEC,111.7,90,49.9,44.1,16.7,20,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31,70,2022
Texas,   6 seed, R32,B12,112.5,91.5,50.1,47,17.8,23,31.6,29.8,32,39,50.5,46.6,33,31.8,63.5,2022
North Carolina,   8 seed, Finals,ACC,114.4,93.5,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,2022
Memphis,   9 seed, R32,Amer,112.4,92.6,52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,51.9,45.5,35.5,32,70,2022
Virginia Tech,   11 seed, R64,ACC,115.6,95.2,55.1,49,17,18.7,27.8,26.2,24.5,25.6,52.6,49.3,39.2,32.3,63.3,2022
Saint Mary's,   5 seed, R32,WCC,109.8,90.5,52.7,48.3,17,19.2,27.4,21.7,23.3,25.1,52.5,47,35.5,34.3,63.7,2022
Illinois,   4 seed, R32,B10,111.9,93,52.5,46,18.1,15.5,33.1,26.6,32,28.2,51.4,45.2,35.9,31.9,67.1,2022
Arkansas,   4 seed, Elite Eight,SEC,108.7,90.7,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,2022
LSU,   6 seed, R64,SEC,106.3,89.6,49.4,45.1,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,2022
San Francisco,   10 seed, R64,WCC,110.2,93,53.1,47.1,17.9,18.4,30,24,28.5,33,54.4,48.7,34.3,28.9,69,2022
Michigan,   11 seed, Sweet Sixteen,B10,113.9,96.2,52.1,49.7,17.3,14.7,31,24,29.4,25.6,52.7,50.4,33.9,32.4,66.4,2022
Connecticut,   5 seed, R64,BE,113.2,95.9,49.6,46,17.3,18,37.9,27.6,30.5,31.7,48,42.6,35.2,35.3,65,2022
TCU,   9 seed, R32,B12,108.6,92.1,48.7,47.4,21.4,18.6,37.7,26.1,31.4,26.9,50.3,48,30.2,30.9,65.9,2022
San Diego St.,   8 seed, R64,MWC,102.4,86.9,48.7,44.1,19.3,21.9,29.5,27.3,31.1,31,46.7,43.5,35.4,30,65.3,2022
Indiana,   12 seed, R64,B10,107.7,91.6,50.6,46.2,17.2,17.6,27,25.1,33.5,30.7,50.9,43.9,33.3,33,67.2,2022
Oklahoma,,,B12,110.6,94.1,54.8,49.4,22,20.3,25.7,26.2,27.4,26.4,56.7,50.3,34.7,31.8,65.2,2022
Ohio St.,   7 seed, R32,B10,115.5,98.5,54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,54,45.8,36.5,33.8,65.1,2022
Alabama,   6 seed, R64,SEC,115.2,98.3,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2022
Texas A&M,,,SEC,109.2,93.3,49.6,47.4,18.9,23.7,33.5,33.2,35.7,33.3,50.1,47.9,32.4,31.1,66.5,2022
Oklahoma St.,,,B12,102.9,88,48,45.7,21.4,22.8,32.3,31.4,33,31.2,49.8,43.7,29.5,32.4,68,2022
Providence,   4 seed, Sweet Sixteen,BE,111.4,95.5,50,46.3,17,15.6,30.3,27.4,37,27,49,47.1,34.4,30,65.3,2022
Wake Forest,,,ACC,110.7,95,55.6,47.3,19.2,17.6,26.7,26.2,33.6,29.4,58.5,46.6,34.5,32.3,70.4,2022
Notre Dame,   11 seed, R32,ACC,112.8,96.7,54,49,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32,65.4,2022
Wisconsin,   3 seed, R32,B10,108.7,93.4,47.7,49,13,17,25.9,24.4,32.4,27.2,48.7,49,30.7,32.5,66.4,2022
Miami FL,   10 seed, Elite Eight,ACC,113.6,97.9,53.4,52.5,14,20.4,22.4,30.3,28.9,24.8,54.8,53,33.9,34.5,67.7,2022
Loyola Chicago,   10 seed, R64,MVC,106.9,92.3,55.6,46.9,18.5,20.1,25.1,24,31.5,28.9,54.9,47.3,37.6,30.9,64.6,2022
Boise St.,   8 seed, R64,MWC,107.6,92.9,50.7,48.3,18.4,20.2,30.6,22.4,35.2,25.9,50.6,48,34,32.6,64.5,2022
Michigan St.,   7 seed, R32,B10,111.6,96.6,52,48.1,18.8,15.3,30.7,27.1,29.9,28.3,49.6,48.5,37.8,31.6,67.6,2022
Washington St.,,,P12,107.6,93.1,47.9,46.9,16.6,20.4,33.4,29.5,29.8,30.3,46.2,47.4,33.5,30.6,66.2,2022
Iowa St.,   11 seed, Sweet Sixteen,B12,101.7,88.4,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2022
Dayton,,,A10,108.8,94.5,53.9,46.9,19.1,17.1,30.3,23.6,30.5,23.7,53.8,45.8,36.1,32.4,63.1,2022
Syracuse,,,ACC,116.1,101.4,52.5,50.6,15.4,16.7,29.2,32.1,28.3,23.5,49.9,51.6,37.6,33,67.7,2022
