School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G,Year
Abilene Christian,36,0.694,2.25,-2.09,0.611,0.824,0.5,76.694,67.556,9.139,1.188,22.25,2022
Air Force,29,0.379,-5.67,1.33,0.235,0.538,0.167,59.034,66.034,-7,0.916,18.03,2022
Akron,34,0.706,0.91,-3.93,0.7,0.8,0.667,70.647,62.647,8,1.021,15.76,2022
Alabama,33,0.576,14.62,11.59,0.5,0.813,0.3,79.485,76.455,3.03,1.008,18.45,2022
Alabama A&M,30,0.4,-14.43,-8.86,0.556,0.7,0.222,61.433,67,-5.567,0.7,16.1,2022
Alabama St.,31,0.323,-12.05,-5.45,0.444,0.538,0.167,69.677,75.226,-5.548,0.782,18.06,2022
Albany,31,0.419,-9.8,-5.77,0.5,0.333,0.471,61.839,65.871,-4.032,0.762,18,2022
Alcorn St.,34,0.5,-8.68,-4.12,0.778,0.667,0.409,66.529,71.088,-4.559,0.736,17.76,2022
American,32,0.313,-15.38,-7.91,0.278,0.545,0.2,63.469,70.938,-7.469,0.913,14.91,2022
Appalachian St.,34,0.559,-1.45,-1.45,0.667,0.688,0.462,67.088,63.118,3.971,1.22,12.85,2022
Arizona,37,0.892,22.75,6.84,0.9,1,0.75,83.973,68.054,15.919,1.461,16.73,2022
Arizona St.,31,0.452,7.64,9.48,0.5,0.6,0.417,65.387,67.226,-1.839,1.119,18.13,2022
Arkansas,37,0.757,16.27,8.62,0.722,0.944,0.556,75.946,68.297,7.649,1.133,16.86,2022
Arkansas St.,29,0.621,-3.27,-3.5,0.533,0.786,0.462,70.862,68.069,2.793,1.122,16.62,2022
Arkansas Pine Bluff,31,0.226,-18.96,-4.58,0.278,0.417,0.105,66.29,78.258,-11.968,0.874,17.42,2022
Army,31,0.484,-10.53,-7.53,0.5,0.714,0.25,70.419,70.387,0.032,0.953,14.84,2022
Auburn,34,0.824,19.2,8.17,0.833,1,0.727,78.235,67.206,11.029,1.219,18.5,2022
Austin Peay,29,0.414,-10.02,-3.39,0.444,0.545,0.353,64.655,69.103,-4.448,0.968,16.66,2022
Ball St.,31,0.452,-7.99,-4.56,0.474,0.643,0.308,74.323,76.774,-2.452,0.942,17.9,2022
Baylor,34,0.794,21.73,8.76,0.778,0.882,0.727,77.029,64.059,12.971,1.287,16.12,2022
Bellarmine,33,0.606,-3.77,-1.28,0.688,0.733,0.5,70.121,67.182,2.939,1.532,14.33,2022
Belmont,33,0.758,6.49,-2.57,0.833,0.929,0.667,78.273,68.606,9.667,1.526,13.7,2022
Bethune-Cookman,30,0.3,-14.7,-6.7,0.389,0.4,0.235,63.367,69.533,-6.167,0.803,17.13,2022
Binghamton,29,0.414,-10.41,-6.18,0.444,0.385,0.438,67.655,68.379,-0.724,0.913,16.69,2022
Boise St.,35,0.771,11.93,5.22,0.833,0.813,0.75,68.257,60.857,7.4,0.945,15.03,2022
Boston College,33,0.394,4.03,5.22,0.3,0.563,0.167,66.939,68.121,-1.182,1.038,15.58,2022
Boston University,35,0.629,-5.07,-7.34,0.611,0.733,0.5,70.571,67.686,2.886,0.906,15.57,2022
Bowling Green St.,31,0.419,-8.82,-4.44,0.3,0.563,0.231,80.258,80.484,-0.226,1.024,17.74,2022
Bradley,31,0.548,5.79,1.19,0.611,0.857,0.273,70.484,65.194,5.29,0.998,17,2022
BYU,35,0.686,10.05,5.23,0.6,0.824,0.545,74.257,68.343,5.914,1.163,17.69,2022
Brown,29,0.448,-3.32,-1.91,0.357,0.462,0.462,70.966,69.483,1.483,0.929,17.93,2022
Bryant,32,0.688,-4.8,-7.41,0.882,0.933,0.5,78.031,73.375,4.656,1,17,2022
Bucknell,32,0.281,-14.62,-6.37,0.278,0.538,0.118,71.156,79.406,-8.25,1.093,15.31,2022
Buffalo,30,0.633,1.9,-3.21,0.684,0.75,0.6,79.933,72.267,7.667,1.139,17.1,2022
Butler,33,0.424,4.45,9.16,0.3,0.563,0.273,63.848,66.939,-3.091,0.919,16.67,2022
Cal Poly,28,0.25,-10.6,-3.3,0.25,0.364,0.143,61.464,67.321,-5.857,0.716,19.39,2022
Cal St. Bakersfield,28,0.321,-7.57,-2.01,0.125,0.462,0.154,64.857,66.321,-1.464,0.853,20.61,2022
Cal St. Fullerton,32,0.656,-0.04,-2.28,0.706,0.846,0.5,69.969,66.531,3.438,0.928,15.81,2022
Cal St. Northridge,30,0.233,-12.02,-1.41,0.167,0.267,0.214,61.567,71.233,-9.667,0.747,18.67,2022
California,32,0.375,3.96,6.96,0.25,0.556,0.182,63.063,66.063,-3,0.953,16.53,2022
California Baptist,34,0.529,-3.53,-3.34,0.389,0.737,0.25,70.647,67.176,3.471,1.144,18.41,2022
Campbell,29,0.552,-4.84,-5.76,0.5,0.692,0.385,66.172,62,4.172,1.333,13.83,2022
Canisius,32,0.344,-7.48,-2.25,0.35,0.667,0.063,68.5,71.5,-3,1.101,17.19,2022
Central Arkansas,31,0.355,-13.83,-1.7,0.438,0.667,0.176,73.194,81.129,-7.935,1.047,16.71,2022
Central Connecticut St.,32,0.25,-17.43,-7.09,0.235,0.364,0.211,61.781,72.125,-10.344,0.771,16.09,2022
UCF,30,0.6,6.23,4.63,0.5,0.813,0.333,69.833,68.233,1.6,1.113,15.7,2022
Central Michigan,30,0.233,-12.56,-1.52,0.333,0.182,0.313,65.933,76.967,-11.033,0.848,19.9,2022
Charleston Southern,31,0.194,-17.56,-4.21,0.063,0.308,0.071,68.452,76,-7.548,0.817,16.19,2022
Charlotte,31,0.548,-1.62,-0.42,0.556,0.733,0.5,70.032,71.226,-1.194,1.216,14.06,2022
Chattanooga,35,0.771,6.12,-0.94,0.778,0.8,0.75,74.171,64.371,9.8,1.169,15.63,2022
Chicago St.,32,0.219,-14.24,-1.96,0.167,0.357,0.118,62.094,74.375,-12.281,0.639,19.66,2022
Cincinnati,33,0.545,7.44,4.28,0.389,0.667,0.364,69.424,65.939,3.485,1.251,17.48,2022
Clemson,33,0.515,9.59,6.31,0.4,0.688,0.273,71.727,68.455,3.273,1.291,15.79,2022
Cleveland St.,31,0.645,-1.78,-5.64,0.714,0.833,0.417,75.355,69.935,5.419,1.221,18.26,2022
Coastal Carolina,33,0.576,0.66,-2.41,0.5,0.65,0.5,72.848,65.333,7.515,1.023,14.33,2022
Colgate,35,0.657,0.98,-6.37,0.889,0.938,0.444,75.6,67.114,8.486,1.506,14.49,2022
College of Charleston,32,0.531,0.52,-1.23,0.444,0.6,0.467,78.188,76.438,1.75,0.844,20.56,2022
Colorado,33,0.636,9.82,6.15,0.6,0.667,0.6,71.061,67.394,3.667,0.987,15.64,2022
Colorado St.,31,0.806,11.51,4.77,0.778,0.933,0.667,73.387,66.032,7.355,1.412,15.03,2022
Columbia,26,0.154,-17.5,-4.62,0.071,0.231,0.077,67.385,78.808,-11.423,0.79,16.69,2022
Connecticut,33,0.697,16.4,6.88,0.684,0.875,0.5,74.818,65.303,9.515,1.193,16.79,2022
Coppin St.,32,0.281,-12.78,-5.03,0.429,0.333,0.2,66.938,74.688,-7.75,0.766,16.84,2022
Cornell,26,0.577,-3.41,-3.45,0.5,0.833,0.385,79.192,74.654,4.538,1.216,18.69,2022
