TEAM,march_madness,Conference,YEAR
Gonzaga,S16,WCC,2022
Gonzaga,2ND,WCC,2021
Gonzaga,E8,WCC,2019
Villanova,Champions,BE,2018
Gonzaga,2ND,WCC,2017
Villanova,Champions,BE,2016
Kentucky,F4,SEC,2015
Louisville,S16,Amer,2014
Louisville,Champions,BE,2013
Kentucky,Champions,SEC,2012
Ohio St.,S16,B10,2011
Duke,Champions,ACC,2010
Memphis,S16,CUSA,2009
Kansas,Champions,B12,2008
Houston,E8,Amer,2022
Baylor,Champions,B12,2021
Virginia,Champions,ACC,2019
Virginia,R64,ACC,2018
North Carolina,Champions,ACC,2017
Kansas,E8,B12,2016
Duke,Champions,ACC,2015
Arizona,E8,P12,2014
Florida,E8,SEC,2013
Ohio St.,F4,B10,2012
Kansas,E8,B12,2011
Kansas,R32,B12,2010
North Carolina,Champions,ACC,2009
Memphis,2ND,CUSA,2008
Kansas,Champions,B12,2022
Houston,F4,Amer,2021
Texas Tech,2ND,B12,2019
Duke,E8,ACC,2018
Villanova,R32,BE,2017
Virginia,E8,ACC,2016
Wisconsin,2ND,B10,2015
Florida,F4,SEC,2014
Indiana,S16,B10,2013
Michigan St.,S16,B10,2012
Duke,S16,ACC,2011
Syracuse,S16,BE,2010
Connecticut,F4,BE,2009
UCLA,F4,P10,2008
Texas Tech,S16,B12,2022
Illinois,R32,B10,2021
Michigan,S16,B10,2019
Purdue,S16,B10,2018
Florida,E8,SEC,2017
North Carolina,2ND,ACC,2016
Arizona,E8,P12,2015
Virginia,S16,ACC,2014
Gonzaga,R32,WCC,2013
Kansas,2ND,B12,2012
Texas,R32,B12,2011
Kentucky,E8,SEC,2010
Louisville,E8,BE,2009
North Carolina,F4,ACC,2008
Baylor,R32,B12,2022
Michigan,E8,B10,2021
Duke,E8,ACC,2019
Cincinnati,R32,Amer,2018
Kentucky,E8,SEC,2017
Kentucky,R32,SEC,2016
Villanova,R32,BE,2015
Wisconsin,F4,B10,2014
Syracuse,F4,BE,2013
North Carolina,E8,ACC,2012
Kentucky,F4,SEC,2011
Ohio St.,S16,B10,2010
Pittsburgh,E8,BE,2009
Wisconsin,S16,B10,2008
Duke,F4,ACC,2022
Iowa,R32,B10,2021
Michigan St.,F4,B10,2019
Kansas,F4,B12,2018
West Virginia,S16,B12,2017
Michigan St.,R64,B10,2016
Virginia,R32,ACC,2015
Duke,R64,ACC,2014
Michigan,2ND,B10,2013
Syracuse,E8,BE,2012
Pittsburgh,R32,BE,2011
Kansas St.,E8,B12,2010
Missouri,E8,B12,2009
Louisville,E8,BE,2008
Tennessee,R32,SEC,2022
USC,E8,P12,2021
North Carolina,S16,ACC,2019
Michigan,2ND,B10,2018
Virginia,R32,ACC,2017
West Virginia,R64,B12,2016
Gonzaga,E8,WCC,2015
Tennessee,S16,SEC,2014
Kansas,S16,B12,2013
Wisconsin,S16,B10,2012
Wisconsin,S16,B10,2011
Baylor,E8,B12,2010
Kansas,S16,B12,2009
Duke,R32,ACC,2008
Villanova,F4,BE,2022
Colorado,R32,P12,2021
Kentucky,E8,SEC,2019
West Virginia,S16,B12,2018
Louisville,R32,ACC,2017
Oklahoma,F4,B12,2016
Utah,S16,P12,2015
Michigan St.,E8,B10,2014
Duke,E8,ACC,2013
Missouri,R64,B12,2012
Notre Dame,R32,BE,2011
West Virginia,F4,BE,2010
West Virginia,R64,BE,2009
Texas,E8,B12,2008
Arizona,S16,P12,2022
Alabama,S16,SEC,2021
Purdue,E8,B10,2019
Michigan St.,R32,B10,2018
Kansas,E8,B12,2017
Purdue,R64,B10,2016
North Carolina,S16,ACC,2015
Wichita St.,R32,MVC,2014
Ohio St.,E8,B10,2013
Wichita St.,R64,MVC,2012
Purdue,R32,B10,2011
Wisconsin,R32,B10,2010
UCLA,R32,P10,2009
Georgetown,R32,BE,2008
UCLA,S16,P12,2022
Florida St.,S16,ACC,2021
Tennessee,S16,SEC,2019
Xavier,R32,BE,2018
Duke,R32,ACC,2017
Wichita St.,R32,MVC,2016
Notre Dame,E8,ACC,2015
Michigan,E8,B10,2014
Wisconsin,R64,B10,2013
Florida,E8,SEC,2012
San Diego St.,S16,MWC,2011
Purdue,S16,B10,2010
Michigan St.,2ND,B10,2009
Washington St.,S16,P10,2008
Kentucky,R64,SEC,2022
Ohio St.,R64,B10,2021
Houston,S16,Amer,2019
North Carolina,R32,ACC,2018
SMU,R64,Amer,2017
Oklahoma,S16,B12,2015
Kansas,R32,B12,2014
Michigan St.,S16,B10,2013
Indiana,S16,B10,2012
North Carolina,E8,ACC,2011
BYU,R32,MWC,2010
Gonzaga,S16,WCC,2009
Stanford,S16,P10,2008
Purdue,S16,B10,2022
Wisconsin,R32,B10,2021
Auburn,F4,SEC,2019
Tennessee,R32,SEC,2018
Wichita St.,R32,MVC,2017
Gonzaga,S16,WCC,2016
Michigan St.,F4,B10,2015
Villanova,R32,BE,2014
Georgetown,R64,BE,2013
Vanderbilt,R32,SEC,2012
Illinois,R32,B10,2011
Texas A&M,R32,B12,2010
Duke,S16,ACC,2009
Marquette,R32,BE,2008
Iowa,R64,B10,2022
Loyola Chicago,S16,MVC,2021
Virginia Tech,S16,ACC,2019
Gonzaga,S16,WCC,2018
Michigan,S16,B10,2017
Xavier,R32,BE,2016
Baylor,R64,B12,2015
Pittsburgh,R32,ACC,2014
Arizona,S16,P12,2013
Memphis,R64,CUSA,2012
Connecticut,Champions,BE,2011
California,R32,P10,2010
Oklahoma,E8,B12,2009
Clemson,R64,ACC,2008
Auburn,R32,SEC,2022
Villanova,S16,BE,2021
Kansas St.,R64,B12,2019
Texas Tech,E8,B12,2018
Saint Mary's,R32,WCC,2017
Miami FL,S16,ACC,2016
Wichita St.,S16,MVC,2015
Connecticut,Champions,Amer,2014
VCU,R32,A10,2013
Georgetown,R32,BE,2012
Louisville,R64,BE,2011
Butler,2ND,Horz,2010
Villanova,F4,BE,2009
Tennessee,S16,SEC,2008
Texas,R32,B12,2022
Connecticut,R64,BE,2021
Florida St.,S16,ACC,2019
Ohio St.,R32,B10,2018
Oregon,F4,P12,2017
Indiana,S16,B10,2016
Louisville,E8,ACC,2015
UCLA,S16,P12,2014
Pittsburgh,R64,BE,2013
Saint Louis,R32,A10,2012
Syracuse,R32,BE,2011
Maryland,R32,ACC,2010
Syracuse,S16,BE,2009
Davidson,E8,SC,2008
North Carolina,2ND,ACC,2022
Texas Tech,R32,B12,2021
Iowa St.,R64,B12,2019
Cincinnati,R32,Amer,2017
Oregon,E8,P12,2016
Kansas,R32,B12,2015
Syracuse,R32,ACC,2014
Miami FL,S16,ACC,2013
Louisville,F4,BE,2012
BYU,S16,MWC,2011
Georgetown,R64,BE,2010
Arizona St.,R32,P10,2009
Michigan St.,S16,B10,2008
Memphis,R32,Amer,2022
San Diego St.,R64,MWC,2021
Kansas,R32,B12,2019
Florida,R32,SEC,2018
Purdue,S16,B10,2017
Northern Iowa,R32,MVC,2015
Creighton,R32,BE,2014
Saint Louis,R32,A10,2013
Baylor,E8,B12,2012
Florida,E8,SEC,2011
Clemson,R64,ACC,2010
Purdue,S16,B10,2009
Xavier,E8,A10,2008
Virginia Tech,R64,ACC,2022
